keys,ja
WORD_SKILL_N_FOOT___,"『はだしえっち（ひとな）』追加"
WORD_SKILL_C_FOOT___,"「ひとな」コンプリート"
WORD_SKILL_N_SLEEP__,"『おくちえっち（ふたな）』追加"
WORD_SKILL_C_SLEEP__,"「ふたな」コンプリート"
WORD_SKILL_N_SISTER_,"『しまいえっち（みつな、よつな）』追加"
WORD_SKILL_C_SISTER_,"「しばりえっち」成功＆「みつな」「よつな」コンプリート"
WORD_SKILL_N_LOVE___,"感度ゲージ表示（絶頂射精可能シーンのみ）"
WORD_SKILL_C_LOVE___,"「らぶらぶえっち」成功"
WORD_SKILL_N_M_NIGHT,"侵入経路『22:30』追加"
WORD_SKILL_C_M_NIGHT,"チェックリストを埋めてエピローグを見る"
WORD_NOT_TIT_GIRL1__,"長女『ひとな』はどこ？"
WORD_NOT_COM_GIRL1__,"[C_G]10:00[/C]に家にいるらしい。"
WORD_NOT_TIT_GIRL2__,"次女『ふたな』はどこ？"
WORD_NOT_COM_GIRL2__,"[C_G]14:30[/C]に家にいるらしい。"
WORD_NOT_TIT_GIRL3__,"三女『みつな』はどこ？"
WORD_NOT_COM_GIRL3__,"[C_G]20:30[/C]に家にいた。"
WORD_NOT_TIT_GIRL4__,"四女『よつな』はどこ？"
WORD_NOT_COM_GIRL4__,"いつ家にいるのか不明。\n[C_G]まだ見ていないどこか[/C]に隠れているのだろうか？"
WORD_NOT_TIT_SEXANAL,"『おしりえっち』をするには？"
WORD_NOT_COM_SEXANAL,"おしりに挿入するには、ローションが必要だ。\n[C_G]ローションの代わりになるもの[/C]はないだろうか？"
WORD_NOT_TIT_SEXLOVE,"『らぶらぶえっち』をするには？"
WORD_NOT_COM_SEXLOVE,"こればかりは、あまり期待しない方がいいだろう。\n[C_G]最初から淫乱な子[/C]や、[C_G]絶頂させやすい状況[/C]でもなければ……。"
WORD_NOT_TIT_KNIFE__,"包丁を回避するには？"
WORD_NOT_COM_KNIFE__,"長女が的確に急所を突いてくる。\n鉄板など、[C_G]薄くて金属製の物を腹に仕込む[/C]ことができれば……？"
WORD_NOT_TIT_SEXROPE,"次女をワカラセるには？"
WORD_NOT_COM_SEXROPE,"睡眠中の次女に深く挿入することはできないが、起こすと死が待っている。\n[C_G]抵抗されないように、拘束する[/C]ことができれば……？"
WORD_NOT_TIT_PARDOOR,"親の部屋に入るには？"
WORD_NOT_COM_PARDOOR,"内側だけでなく、外側からも施錠ができるようだ。\n外から鍵を開けるには、[C_G]鍵穴に『細い金属』を差し込む[/C]必要がある。"
WORD_NOT_TIT_RETURN_,"末っ子に触れるには？"
WORD_NOT_COM_RETURN_,"ここにいるのは、彼女一人ではない。\n彼女に触れようとする前に、[C_G]立ち止まって振り返る[/C]のもいいかもしれない。"
WORD_NOT_TIT_KITLOCK,"キッチンの扉の番号は？"
WORD_NOT_COM_KITLOCK,"[C_G]4桁の番号[/C]でロックされている。\n扉には[C_G]『ひとな　お料理教室』[/C]と書いてある。"
WORD_NOT_TIT_PARLOCK,"親の部屋の金庫の番号は？"
WORD_NOT_COM_PARLOCK,"[C_G]4桁の番号[/C]でロックされている。\nおそらく、[C_G]親に関係のある番号[/C]だろう。"
WORD_NOT_TIT_CHILOCK,"姉妹部屋の箱の番号は？"
WORD_NOT_COM_CHILOCK,"[C_G]7桁の番号[/C]でロックされている。\n7桁の推測は難しい。[C_G]開いている時[/C]さえあれば……。"
WORD_NOT_TIT_BEDLOCK,"ベッドのおもちゃの中身は？"
WORD_NOT_COM_BEDLOCK,"マークの書かれた[C_G]4つのボタンを5回押せる[/C]ようになっている。\nどこかに[C_G]パスワードの情報[/C]が書かれていると良いのだが……。"
WORD_OBJ_____KITCHEN,"ひとな\nお料理教室"
WORD_OBJ_____ONE_LIS,"今日の英単語コーナー！"
WORD_TIME____M______,"03月28日 10:00"
WORD_TIME____A______,"03月28日 14:30"
WORD_TIME____E______,"03月28日 20:30"
WORD_TIME____B______,"03月28日 [C_D]22:30[/C]"
WORD_TIME__S_M______,"10:00"
WORD_TIME__S_A______,"14:30"
WORD_TIME__S_E______,"20:30"
WORD_TIME__S_B______,"22:30"
WORD_FERTALK_DEEP__1,"奥まで咥えて"
WORD_FERTALK_DEEP__2,"もっと奥まで"
WORD_FERTALK_MOUSE_1,"しゃぶって"
WORD_FERTALK_MOUSE_2,"先っちょをお願い"
WORD_FERTALK_TEKOKI_,"手でゴシゴシして"
WORD_FERTALK_TONGUE_,"舌で舐めて"
WORD_FERTALK_SLOW___,"ゆっくり動かして"
WORD_FERTALK_STOP___,"ストップ"
WORD_FERTALK_FAST___,"早く動かして"
WORD_FERTALK_FOOTDBL,"両足でゴシゴシして"
WORD_FERTALK_FOOTSFT,"交互にゴシゴシして"
WORD_SEL_COM_SEL_NAM,"「自己紹介して？」"
WORD_SEL_COM_S_TOUCH,"「気持ちいい？」"
WORD_SEL_COM_TAKEPEN,"[C_D]（ペニスを取り出す）[/C]"
WORD_SEL_COM_GO_FERA,"[C_D]（口内を犯す）[/C]"
WORD_SEL_COM_GO_PUSH,"[C_D]（押し倒す）[/C]"
WORD_SEL_COM_GO_VAGI,"[C_D]（処女を奪う）[/C]"
WORD_SEL_COM_GO_ANAL,"[C_D]（おしりに挿入）[/C]"
WORD_SEL_COM_PHOTO_Y,"[C_D]（『集合写真』を服の下に仕込む）[/C]"
WORD_SEL_COM_PHOTO_N,"（ゴワゴワするからやだ）"
WORD_SEL_COM_NOTANAL,"[C_Y]道具が必要[/C]"
WORD_SEL_COM_NO__THK,"（考え直す）"
WORD_SEL_COM_SEL_END,"[C_D][shake]（やり直す）[/shake][/C]"
WORD_SEL_G1B_PL_MOUS,"[C_D]（手と口で奉仕してもらう）[/C]"
WORD_SEL_G1B_PL_ANAL,"[C_D]（おしりで奉仕してもらう）[/C]"
WORD_SEL_G2A_T_START,"[C_D]（このままイタズラする）[/C]"
WORD_SEL_G2A_T_ROPEV,"[C_D]（処女を奪いやすいように拘束する）[/C]"
WORD_SEL_G2A_T_ROPEA,"[C_D]（おしりに挿入しやすいように拘束する）[/C]"
WORD_SEL_G2A_T_CNCL_,"（もう少し探索する）"
WORD_SEL_G3C_SEL_END,"[C_D]（自らに包丁を突き立てる）[/C]"
WORD_SEL_G4A_PL_MOUS,"[C_D]（口から『特効薬』を飲ませる）[/C]"
WORD_SEL_G4A_PL_VAGI,"[C_D]（下の穴から『注射』する）[/C]"
WORD_SEL_G4A_PL_ANAL,"[C_D]（おしりから『注射』する）[/C]"
WORD_SEL_GBS_T_START,"[C_D]（彼女を襲う）[/C]"
WORD_SEL_GBS_T_CNCL_,"（他の子にする）"
WORD_THINK_M_SILENCE,"…………"
WORD_THINK_M_LOCKDOR,"大丈夫、[C_D]『鍵』は閉めた[/C]"
WORD_THINK_M_KITCHEN,"[C_G] 「ひとな　お料理教室」[/C]と書いてある"
WORD_THINK_M_PHOTO_1,"[C_Y]03月04日[/C] [N_G1]はじめての[C_G]お料理教室[/C]"
WORD_THINK_M_PHOTO_2,"[C_Y]07月21日[/C] [N_G2]大会で優勝！"
WORD_THINK_M_PHOTO_3,"[C_Y]04月05日[/C] [N_G3]緊張した入学式"
WORD_THINK_M_TAKEPH1,"[C_G]『鉄製フレーム』[/C]に、古そうな写真が入っている。"
WORD_THINK_M_TAKEPH2,"これを腹に仕込めば、刃物は通さないだろう。"
WORD_THINK_M_ALOPNLK,"既に[C_G]『鍵』[/C]は開いている。"
WORD_THINK_M_LOCKKEY,"[C_G]『鍵』[/C]がかかっている……。"
WORD_THINK_M_LOCKDO1,"鍵をかけたのは[N_G3]ちゃん……つまり、[C_D]開いていた[/C]ということだ"
WORD_THINK_M_LOCKDO2,"姉妹たちが入らないよう、[C_D]誰もいない時は鍵をかけている[/C]のか？"
WORD_THINK_M_NOCHKOP,"[C_D][shake]『今夜』だけは、標的から目をそらすな……!![/shake][/C]"
WORD_THINK_M_NOOPNCL,"[C_D][shake]音でバレる[/shake][/C]……クローゼットは諦めよう"
WORD_THINK_M_NOOPNK1,"……[C_G]夫婦の話し声[/C]が聞こえる"
WORD_THINK_M_NOOPNK2,"もうすぐ彼らも寝るだろう……[C_D][shake]今のうちだ[/shake][/C]"
WORD_THINK_M_TCHDL_1,"隙間が狭すぎて、合鍵も差し込めない……"
WORD_THINK_M_TCHDL_2,"隙間に入る[C_D]『薄い金属』[/C]があれば……"
WORD_THINK_M_OP__KEY,"……それが、[C_D]すべての始まり[/C]だった。"
WORD_THINK_M_CHPASS1,"なんだ、このパスワードは……[C_D]「よろしく(4649) 死にな(427)」[/C]？"
WORD_THINK_M_CHPASS2,"………………。いや、違うな"
WORD_THINK_M_CHPASS3,"[C_G]「よろしく(4649) よつな(427)ちゃん」[/C]ってことか"
WORD_THINK_M_NOPENI1,"いや、[C_G]『今夜』[/C]は間に合うか分からない"
WORD_THINK_M_NOPENI2,"今夜は[C_G]情報を集めて[/C]、下の穴は[C_D]『次回』[/C]楽しむとしよう"
WORD_THINK_M_PUSH_F1,"穴が小さすぎて、簡単には入らない"
WORD_THINK_M_PUSH_F2,"ペニスを[C_D]押し込み続けて[/C] 無理やりねじ込むか……"
WORD_THINK_M_P_RETRY,"無理か？ いや、[C_D]もう一度[/C]だ……!!"
WORD_THINK_M_ANA__F1,"穴が小さい……少し『ほぐす』か"
WORD_THINK_M_ANA__F2,"まだ穴が小さい。もう少しだけ広げれば……"
WORD_THINK_M_ANA__F3,"無理か……いや、[C_D]ペニスを押し続けて[/C]無理やりねじ込めば……!!"
WORD_THINK_M_NOT_LOT,"……こっちの穴を楽しむには[C_G]ローション[/C]的なものが必要だ"
WORD_THINK_M_DOOROPN,"……扉の奥から[C_D]包丁[/C]の音が聞こえる"
WORD_THINK_M_BED2___,"……上には何もない"
WORD_THINK_M_BED2__B,"[C_D][shake]音でバレる[/shake][/C]……彼女は[C_G]『昼』[/C]に楽しむとしよう"
WORD_THINK_M_AWARD_1,"トロフィーが入った箱……おそらく、[N_G2]ちゃんの物だ"
WORD_HINT____G1KILL1,"……的確に急所を刺してくるとは、判断が早い子だ"
WORD_HINT____G1KILL2,"しかし、あの『包丁』を避けるのは難しそうだ。それなら──"
WORD_HINT____G1KILL3,"手頃な[C_G]『鉄板』[/C]を腹に仕込んで、そのまま受けてやればいい"
WORD_HINT____G1KILL4,"[C_G]朝に『鉄板』をどう入手する[/C]か……[C_Y]他の時間[/C]に情報を探ろう"
WORD_HINT____G2KILL1,"……なるほど、[N_G2]ちゃんのパンチは[C_D]殺人級[/C]だな"
WORD_HINT____G2KILL2,"[C_G]何かで縛る[/C]ことができれば、起こしても抵抗されないだろう"
WORD_HINT____G2KILL3,"とはいえ、紐だとすぐ破られそうだ。[C_G]『鎖』[/C]のような物があれば……"
WORD_HINT____G2HAND1,"くっ……[shake][C_D]あと少しで射精できたのに……!![/C][/shake]"
WORD_HINT____G2HAND2,"[C_G]他の子[/C]なら[C_D]無理やり口をふさいで犯す[/C]ことも可能だが──"
WORD_HINT____G2HAND3,"[N_G2]ちゃんだけは、[C_Y]縛らないと奥まで挿入[/C]は難しい、か……"
WORD_HINT____G4KILL1,"……背後から、何者かに殴られたようだ"
WORD_HINT____G4KILL2,"初見殺しにも程があるが……次は[C_G]振り向いてみる[/C]としよう"
WORD_ITEM____KNIFE__,"包丁"
WORD_ITEM____ROPE___,"拘束グッズ"
WORD_ITEM____LOTION1,"ベビーオイル"
WORD_ITEM____PHOTO__,"記念写真"
WORD_ITEM____KEY____,"合鍵"
WORD_DIARY___G1___24,"みーちゃんが前から欲しがっていた\n[C_D]『ヒミツの日記』[/C]、ついでだからと\nパパがみんなにも買ってくれた！\nあたしも書いてみたかったんだよね！\n（ふーちゃんは怒ってた……）\n\n『パパやママに見せたくないヒミツ』を\n書いていいんだってさ。\nだったら、まずこれを書かないとね。\n（念のため、暗号にして……）\n\n宝箱：B → B → E → T → D"
WORD_DIARY___G1___25,"昨日の日記で思い出したけど、\nおしりのローションとか\n買った方がいいのかな？\n\n[C_D]『宝箱』に隠しているアレ[/C]でも\nいまのところ大丈夫だけど、\n変な病気になるかもしれないし。\n\nあたし、もう病気なのかな？\nトイレでするのも限界だし、\n卒業したら一人部屋もほしいなぁ。\n（ふーちゃん、いつしてるんだろう？）"
WORD_DIARY___G1___26,"いよいよ、[C_D]パパとママの\n『結婚記念日』まで あと3日[/C]！\n\n「その日は泊まるから大丈夫」って\n言ってたけど、こっそりお菓子を\n作ってあげたいな～！\n\nパパとママ、セックスするのかな？\nおしっこの穴じゃないとダメなのかな？\nそれとも、[s]ママもおしりで[/s]\n何を考えているんだろう、あたし。\nお菓子、何にしようかな？"
WORD_DIARY___G1___27,"おしっこの穴でするコツを聞いたら、\n中に指を入れない（そうなの!?）で、\n[C_D]最初[/C]は[C_D]布の上からゆっくり触る[/C]と\n気持ちよくなるんだって。\n\nたしかに、[C_D]おしりでする時も\n念入りにマッサージ[/C]しておかないと、\n痛くて奥まで動かせないものね。\n\nあと、『リラックス』するのが大事で、\n[C_D]寝てる時[/C]ぐらいリラックスしてると\n最後まで気持ちよくできるんだって。\nふーちゃんは物知りだなぁ。"
WORD_DIARY___G2___24,"今日から春休み！ ……なーのーに！\nパパが[C_D]『日記』[/C]を渡してきて、\n毎日書こうって言ってきた！\n意味わかんない！ バカじゃん！\n\nせっかく宿題もないから\n楽だったのにさ～～～！\nこの日記に文句書いちゃえ！\n\nやーい やーい パパのへんたい！\n[C_D]『変な道具』とか金庫に隠してる[/C]の、\nあたし知ってるんだからねー！"
WORD_DIARY___G2___25,"姉ちゃんもみつなも\n日記に文句を言ってない。\nというか、楽しそう。なんで？\n\nふたりとも、何を書いてるんだろ？\n見せてと言っても見せてくれないし\nパパもママも怒るし～～～！\n\nみんなの愚痴とか、書いてるのかな？\nもしくは、好きな人との妄想を\n日記に書いてたりして！\n気になるなぁ……見たいなぁ……。"
WORD_DIARY___G2___26,"今日は、なんかモヤモヤした。\n姉ちゃんがあんな物を\n[C_D]ベッドの下に隠していた[/C]なんて……。\n\nというか、日記に書いちゃダメでしょ。\n[C_D]『トランプの記号』を英語に直して\n末尾文字を並べた暗号[/C]にして書けば、\n読まれても分からないと思ったのかな？\n\nでも、暗号を解くの面白かったし、\n[C_D]『結婚記念日』[/C]だったパパの金庫よりは\n姉ちゃんの方がずっとマシだし、いっか！"
WORD_DIARY___G2___27,"なんか、ふたりの気持ちが\n少しだけ分かった気がするなぁ。\n\nいくら愚痴や文句を言っても\nパパに[C_D]『おしりぺんぺん』[/C]されない。\n言ったらいけないことを\nコッソリ吐き出すのに使うんだ。\n\nでも、[C_D]『合鍵』を落とした[/C]ことは\n春になる前に言った方がいいかな？\n遅く帰らないと、家に入れないんだよね。\n玄関で落としたと思ったんだけどなぁ。"
WORD_DIARY___G3___24,"パパが[C_D]『ヒミツの日記』[/C]を\nかってくれた。うれしかった。\nねーちゃんたちのも あるらしい。\n\n『ふたな』ねーちゃんは\n「はる休みなのに！」と\nプンプンおこってた。\n『よつな』に あげればいいのに。\n\nいや『よつな』には まだ早いか。"
WORD_DIARY___G3___25,"『ひとな』ねーちゃんが\nたのしそうに日記をつけてた。\nなにを かいているのか 聞いたら\n「これはヒミツだからダメ」って。\n\nヒミツといえば『ひとな』ねーちゃんに\n[C_D]『ヒミツの暗号』の作り方[/C]を\nおしえてもらった！\n[C_D]「スペード」→「E」[/C]のように書けば\nだれかにメモを見られても\nバレないんだって！ 天才～！"
WORD_DIARY___G3___26,"『ふたな』ねーちゃんが\nふしぎなこと 聞いてきた。\n[C_D]『ベビーオイル』[/C]を おしりにつけたら\n気持ちいいのかって。わからない。\n\nあたしより『ひとな』ねーちゃんに\n聞いてみたらと言ったのに\n「それだけはダメ！」ってさ。\n\n『ふたな』ねーちゃんって\n『ブンブリョウドウ』なのに\nたまに なに言ってるか わからないな。"
WORD_DIARY___G3___27,"またカラダのチョーシがわるい。\nうちにシャワーがないから\n近くの『おふろ屋さん』に\nいかないといけないのに……。\n\nあと『よつな』は『おふろ屋さん』が\nきらいだから うらやましがってた。\n[C_D]「明日は入らない！」[/C]って泣いて\nパパもタイヘンだったみたい。\n\nあたし くさくないかな……？"
WORD_DIARY___G3___28,"『よつな』は あまえんぼうだ。\nでも、おふろは入った方がいいと思う。\n\n『よつな』も 4月から同じところに通う。\n『ひとな』ねーちゃんも あと1年で卒業。\nこれからは あたしが\n『よつな』を守ってあげないとね。\n\nそういえば [C_D]クローゼットの\n『きねんボックス』が開いてた[/C]から\n閉めてカギもかけておいた。\nなんで開いてたんだろう？"
WORD_OTHER___CHKRATE,"チェック率"
WORD_OTHER___CONG___,"Congratulations!!"
WORD_OTHER___CNTUNIT,"回"
WORD_OTHER___NONE__3,"？？？"
WORD_OTHER___NONE__4,"？？？？"
WORD_OTHER___NONE__5,"？？？？？"
WORD_EVENTRO_G3_RTN0,"ひっ……!?"
WORD_EVENTRO_G3_RTN1,"ゆ……ゆるして……!!!"
WORD_EVE_G1A_KIT___0,"あっ、おかえりなさ……"
WORD_EVE_G1A_KIT___1,"ﾋｯ……!?"
WORD_EVE_G1A_KIT___2,"きゃあああああ!!!"
WORD_EVE_G1A_KIT___3,"……ごめんなさい!! ごめんなさい!! ごめんなさ……!!"
WORD_EVE_G1A_KIT___4,"……………………？"
WORD_EVE_G1A_KIT___5,"あ……"
WORD_EVE_G1B_PRE0__0,"[C_D]（写真を見せて脅す）[/C]"
WORD_EVE_G1B_PRE0__1,"この刺した後……見える？"
WORD_EVE_G1B_PRE0__2,"…………"
WORD_EVE_G1B_PRE0__3,"もし、これがおじさんの身体に刺さっていたら……"
WORD_EVE_G1B_PRE0__4,"どうなっていたか……分かるよね？"
WORD_EVE_G1B_PRE0__5,"[shake]ごめん……なさい……[/shake]"
WORD_EVE_G1B_PRE0__6,"これを警察に言ったらキミはもちろん、"
WORD_EVE_G1B_PRE0__7,"パパや妹たちも、路頭に迷うだろうね"
WORD_EVE_G1B_PRE0__8,"[shake]…………[/shake]"
WORD_EVE_G1B_PRE0__9,"……言うことを聞いたら、黙っててあげる"
WORD_EVE_G1B_NOTALK_,"……"
WORD_EVE_G1B_SELF__1,"[shake]…………[N_G1]……[/shake]"
WORD_EVE_G1B_MAKE__0,"「なに作ってたの？」"
WORD_EVE_G1B_MAKE__1,"[shake]お、お菓子……パパとママに……[/shake]"
WORD_EVE_G1B_MAKE__2,"お菓子に包丁が必要なんだ？"
WORD_EVE_G1B_MAKE__3,"[shake]…………チョコを、刻もうかな、って……[/shake]"
WORD_EVE_G1B_TUCKUP0,"「スカートを持ち上げて」"
WORD_EVE_G1B_TUCKUP1,"[shake]……………………はい……[/shake]"
WORD_EVE_G1B_DIRTY_0,"「こんなに汚して……悪い子だね」"
WORD_EVE_G1B_DIRTY_1,"[shake]ごめん……なさい……[/shake]"
WORD_EVE_G1B_PENIS_1,"[shake]…………や……だ……やだ……!![/shake]"
WORD_EVE_G1B_PENIS_2,"[shake]せ……『せっくす』は…………やだ……!![/shake]"
WORD_EVE_G1B_SEX___0,"「『セックス』が何か知ってるんだね」"
WORD_EVE_G1B_SEX___1,"…………知って、ます……"
WORD_EVE_G1B_SEX___2,"おしっこの穴に、それを入れるんですよね……？"
WORD_EVE_G1B_SEX___3,"………………"
WORD_EVE_G1B_SEX___4,"[shake]お願い……です……他のことなら、なんでも……!![/shake]"
WORD_EVE_G1B_SEX___5,"[shake]はじめては……好きな人ができたら、したいんです……!![/shake]"
WORD_EVE_G1B_TOUCH_1,"………………………………"
WORD_EVE_G1C_PRE0__0,"て……手と口で……？"
WORD_EVE_G1C_PRE0__1,"上手にできたら『セックス』はしなくていいよ"
WORD_EVE_G1C_PRE0__2,"何をすればいいか……分かるね？"
WORD_EVE_G1C_PRE0__3,"…………はい……たぶん"
WORD_EVE_G1C_CHECK_0,"……あの……あってますか……？"
WORD_EVE_G1C_CHECK_1,"うん、その調子でお願い"
WORD_EVE_G1C_CHECK_2,"…………はい……"
WORD_EVE_G1C_AFTER_0,"はぁ……はぁ…………"
WORD_EVE_G1C_AFTER_1,"き……気持ちよかった、ですか……？"
WORD_EVE_G1C_AFTER_2,"……えへへ……ありがとう、ございます……"
WORD_EVE_G1C_TEK_F_0,"……………………!!"
WORD_EVE_G1C_TEK_EJC,"んっ……!?"
WORD_EVE_G1C_TEK_E_0,"……………………"
WORD_EVE_G1C_FER_F_0,"んっ、む、むっ!? む、むぐぅぅ…………!!"
WORD_EVE_G1C_FER_EJC,"むっ!? …………ぐ……"
WORD_EVE_G1D_PRE0__0,"な……なんで……!?"
WORD_EVE_G1D_PRE0__1,"………………"
WORD_EVE_G1D_PRE0__2,"お……お願いします、お願いです!!"
WORD_EVE_G1D_PRE0__3,"『せっくす』以外なら、なんでも……!!"
WORD_EVE_G1D_FAIL__0,"はぁ……はぁ……!!"
WORD_EVE_G1D_PASS__0,"いッ……!? ああぁぁぁあ……!!!"
WORD_EVE_G1D_PREPS_0,"ぐすっ…………なんでぇ……？"
WORD_EVE_G1D_PREPS_1,"子ども……できちゃうよ……？"
WORD_EVE_G1D_PSTNL_0,"うッ!? あっ……痛……いっ……!!"
WORD_EVE_G1D_PSTNL_1,"あっ……あのっ!! もっと、やさしく……!!"
WORD_EVE_G1D_PSTNM_0,"ひっ!? やだ、やだぁぁぁぁ……!!"
WORD_EVE_G1D_PSTNH_0,"やだ……っ、せっくす、やだぁぁあ……!!!"
WORD_EVE_G1D_FAST__0,"こ、こどもっ、できなく……、できなくなっちゃうよぉ……!!"
WORD_EVE_G1D_EJAC__0,"や……ぁぁ…………!?"
WORD_EVE_G1D_EJAC__1,"うっ!!?"
WORD_EVE_G1D_END___0,"…………………………"
WORD_EVE_G1D_END___1,"へへ…………へへへ…………"
WORD_EVE_G1E_PRE0__0,"お……おしりで……!?"
WORD_EVE_G1E_PRE0__1,"上手にできたら『セックス』はしなくていいよ"
WORD_EVE_G1E_PRE0__2,"…………あの……もしかして、知って……"
WORD_EVE_G1E_PRE0__3,"[C_G]『ベビーオイル』[/C]も持ってきてあげたよ"
WORD_EVE_G1E_PRE0__4,"っ……!?"
WORD_EVE_G1E_PRE0__5,"こんなこと、パパや妹たちには言えないものね"
